point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,4.34,0.62,4.5,4,24,0.2,0.2,1.2
2,Delivery_1,DD,3.82,4.25,-4.5,4,31,0.5,1.9,1.3
3,Pickup_2,PP,3.46,0.86,8.4,0,24,1.5,3.1,1.0
4,Delivery_2,DD,4.09,3.95,-8.4,4,29,1.7,0.2,1.5
5,Pickup_3,PP,2.02,0.75,2.2,1,25,1.3,3.8,1.4
6,Delivery_3,DD,2.63,4.62,-2.2,0,33,1.5,1.2,1.1
7,Pickup_4,PP,3.79,4.01,8.2,4,34,0.1,0.7,0.9
8,Delivery_4,DD,4.91,3.64,-8.2,5,29,1.2,1.6,1.1
9,Pickup_5,PP,6.87,3.09,9.5,5,31,1.5,3.3,1.5
10,Delivery_5,DD,6.92,2.9,-9.5,4,25,1.9,2.2,1.4
11,Pickup_6,PP,3.54,4.46,4.3,3,29,0.9,2.2,1.2
12,Delivery_6,DD,4.03,3.94,-4.3,3,22,2.0,0.4,1.3
13,Pickup_7,PP,3.18,0.39,2.0,2,28,0.8,1.9,1.4
14,Delivery_7,DD,1.57,2.01,-2.0,0,35,1.1,2.6,0.9
15,Pickup_8,PP,1.77,3.66,3.9,5,20,1.3,3.4,1.2
16,Delivery_8,DD,7.37,3.52,-3.9,0,23,1.7,3.4,0.9
17,Pickup_9,PP,4.08,4.06,4.9,5,34,1.8,1.3,1.0
18,Delivery_9,DD,3.8,3.59,-4.9,2,28,1.1,2.1,1.4
19,Pickup_10,PP,4.09,4.79,2.6,1,24,0.3,0.6,1.0
20,Delivery_10,DD,3.38,4.08,-2.6,5,23,1.0,1.8,1.5
21,Pickup_11,PP,3.97,3.94,4.6,1,30,0.4,1.3,1.0
22,Delivery_11,DD,4.88,4.63,-4.6,2,23,1.3,1.5,1.3
23,Pickup_12,PP,3.17,4.63,3.9,0,32,1.8,2.0,0.9
24,Delivery_12,DD,7.16,2.92,-3.9,5,29,0.5,0.1,0.8
