point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,3.68,7.53,2.1,2,20,1.1,1.4,0.9
2,Delivery_1,DD,4.04,4.22,-2.1,4,22,0.2,1.6,1.1
3,Pickup_2,PP,3.92,3.9,1.7,3,31,1.1,3.7,1.0
4,Delivery_2,DD,0.6,4.22,-1.7,3,20,0.8,3.4,1.2
5,Pickup_3,PP,3.39,3.92,5.7,0,22,0.4,0.8,1.0
6,Delivery_3,DD,3.51,7.2,-5.7,4,33,0.5,4.0,0.9
7,Pickup_4,PP,2.37,4.55,7.2,3,23,1.1,4.0,1.3
8,Delivery_4,DD,3.28,3.93,-7.2,5,29,1.3,1.4,0.9
9,Pickup_5,PP,3.33,7.38,4.3,0,27,1.4,1.5,1.3
10,Delivery_5,DD,2.33,1.68,-4.3,4,23,1.5,2.4,0.9
11,Pickup_6,PP,4.87,4.64,5.1,1,20,0.9,3.3,1.0
12,Delivery_6,DD,7.27,3.86,-5.1,2,25,1.9,3.3,1.4
13,Pickup_7,PP,3.75,3.5,12.6,5,33,0.5,3.3,1.0
14,Delivery_7,DD,4.17,3.76,-12.6,3,34,0.1,3.2,0.9
15,Pickup_8,PP,3.06,3.47,3.2,0,21,2.0,3.3,0.9
16,Delivery_8,DD,7.22,4.86,-3.2,1,32,0.8,1.9,1.0
17,Pickup_9,PP,5.07,2.44,2.3,2,25,1.5,3.4,1.1
18,Delivery_9,DD,3.09,0.87,-2.3,4,27,0.4,3.5,1.1
19,Pickup_10,PP,4.13,3.56,3.3,5,23,0.3,1.6,1.0
20,Delivery_10,DD,4.06,4.09,-3.3,4,27,1.6,1.7,1.0
21,Pickup_11,PP,4.71,0.76,8.3,5,23,0.5,1.0,1.2
22,Delivery_11,DD,2.26,2.47,-8.3,1,27,1.7,3.8,1.4
23,Pickup_12,PP,4.06,3.43,2.6,2,28,1.9,0.4,0.8
24,Delivery_12,DD,3.83,0.05,-2.6,1,24,0.2,2.0,1.4
25,Pickup_13,PP,2.71,3.97,10.7,1,26,0.1,3.1,1.3
26,Delivery_13,DD,4.13,7.34,-10.7,3,25,0.6,0.4,1.0
27,Pickup_14,PP,6.87,3.46,2.2,4,20,1.3,2.0,0.8
28,Delivery_14,DD,6.81,5.44,-2.2,3,29,0.9,1.9,1.3
29,Pickup_15,PP,3.9,4.26,6.5,1,31,1.5,1.8,0.8
30,Delivery_15,DD,2.91,4.89,-6.5,4,23,1.3,1.2,1.1
31,Pickup_16,PP,4.47,4.83,10.4,4,23,1.0,3.1,1.2
32,Delivery_16,DD,2.86,7.76,-10.4,0,31,0.7,0.2,1.2
33,Pickup_17,PP,7.83,3.74,1.9,4,29,1.8,0.2,0.8
34,Delivery_17,DD,4.06,3.84,-1.9,0,22,0.5,3.1,0.9
35,Pickup_18,PP,3.72,3.42,2.2,4,33,0.9,2.3,1.0
36,Delivery_18,DD,2.29,2.52,-2.2,0,20,0.2,1.9,0.9
37,Pickup_19,PP,1.94,7.25,5.4,3,20,0.1,0.7,1.0
38,Delivery_19,DD,3.75,3.12,-5.4,3,23,1.6,1.2,1.5
39,Pickup_20,PP,3.25,4.74,2.5,2,29,1.6,3.3,1.0
40,Delivery_20,DD,5.16,2.8,-2.5,2,25,1.5,4.0,1.4
41,Pickup_21,PP,3.64,3.99,2.1,3,30,1.3,3.3,1.4
42,Delivery_21,DD,1.57,4.63,-2.1,4,20,0.3,0.1,0.9
43,Pickup_22,PP,1.61,2.57,10.3,2,34,0.4,3.1,1.3
44,Delivery_22,DD,4.49,4.23,-10.3,2,33,0.9,1.5,1.0
45,Pickup_23,PP,4.8,6.93,2.5,2,25,1.3,0.8,1.2
46,Delivery_23,DD,2.4,2.38,-2.5,3,31,1.4,2.0,1.0
47,Pickup_24,PP,1.77,6.75,1.5,3,29,0.6,1.9,1.0
48,Delivery_24,DD,0.73,4.45,-1.5,4,32,1.7,3.3,0.8
49,Pickup_25,PP,7.33,2.61,4.2,0,35,0.5,3.0,1.2
50,Delivery_25,DD,3.83,4.37,-4.2,0,23,0.4,0.6,0.9
51,Pickup_26,PP,3.93,4.36,5.1,2,28,1.4,0.4,1.2
52,Delivery_26,DD,7.56,4.64,-5.1,4,27,1.4,2.9,1.3
53,Pickup_27,PP,7.62,2.45,1.6,1,23,0.4,0.7,0.9
54,Delivery_27,DD,7.3,4.68,-1.6,1,28,1.2,3.7,1.0
55,Pickup_28,PP,4.36,4.28,2.5,4,23,1.0,1.5,0.9
56,Delivery_28,DD,3.74,7.7,-2.5,5,25,1.5,1.8,1.3
57,Pickup_29,PP,1.08,4.06,1.8,3,33,0.8,1.0,1.5
58,Delivery_29,DD,4.93,6.1,-1.8,3,33,1.2,1.9,1.3
59,Pickup_30,PP,4.0,4.09,7.9,4,22,0.4,1.8,0.8
60,Delivery_30,DD,4.26,3.15,-7.9,0,31,1.5,2.4,1.1
0,Depot,depot,4,4,0,0,0,0,0,0
