point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,2.83,4.26,9.7,1,29,1.5,0.5,1.3
2,Delivery_1,DD,4.09,3.74,-9.7,5,29,1.6,1.0,0.9
3,Pickup_2,PP,4.02,3.93,6.6,1,29,0.1,3.6,1.0
4,Delivery_2,DD,2.03,4.51,-6.6,1,24,0.2,0.5,1.3
5,Pickup_3,PP,4.04,3.08,3.2,0,23,1.8,3.8,1.4
6,Delivery_3,DD,1.17,2.58,-3.2,2,21,1.8,2.5,1.1
7,Pickup_4,PP,7.47,3.73,2.6,5,33,2.0,3.0,0.9
8,Delivery_4,DD,3.39,2.69,-2.6,0,30,1.2,0.4,1.5
9,Pickup_5,PP,4.01,4.31,5.9,2,24,1.6,3.0,1.3
10,Delivery_5,DD,3.94,3.49,-5.9,3,25,1.6,3.5,1.2
11,Pickup_6,PP,6.86,2.83,2.5,2,31,0.8,0.8,1.0
12,Delivery_6,DD,4.32,4.2,-2.5,5,22,1.0,0.4,1.1
13,Pickup_7,PP,4.84,3.69,4.0,2,28,0.1,0.7,1.2
14,Delivery_7,DD,4.56,2.76,-4.0,5,23,0.6,0.2,1.2
15,Pickup_8,PP,4.04,3.95,9.7,5,27,1.4,0.7,1.1
16,Delivery_8,DD,1.57,4.38,-9.7,2,22,1.9,0.5,1.2
17,Pickup_9,PP,4.13,3.76,5.5,5,30,0.9,2.0,1.2
18,Delivery_9,DD,1.79,6.29,-5.5,5,27,0.1,2.2,1.2
19,Pickup_10,PP,2.23,4.43,2.4,0,29,0.7,1.1,1.0
20,Delivery_10,DD,4.28,4.57,-2.4,5,35,0.2,1.2,1.2
0,Depot,depot,4,4,0,0,0,0,0,0
