point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,4.01,3.81,5.1,2,31,0.6,3.3,1.1
2,Delivery_1,DD,7.2,3.72,-5.1,2,25,1.6,0.9,1.1
3,Pickup_2,PP,4.59,0.88,3.8,1,22,1.6,3.4,1.4
4,Delivery_2,DD,4.27,4.64,-3.8,2,21,0.3,3.5,1.2
5,Pickup_3,PP,4.18,4.3,2.1,2,33,1.2,2.3,1.0
6,Delivery_3,DD,3.77,3.88,-2.1,5,32,0.2,3.7,1.1
7,Pickup_4,PP,4.43,0.67,2.8,2,25,0.3,0.1,1.4
8,Delivery_4,DD,0.64,2.94,-2.8,5,26,1.4,3.2,1.4
9,Pickup_5,PP,2.98,4.19,1.0,1,27,0.5,3.7,1.2
10,Delivery_5,DD,3.77,3.4,-1.0,5,24,1.3,3.5,1.2
11,Pickup_6,PP,4.53,6.6,5.1,0,33,0.6,0.2,0.8
12,Delivery_6,DD,4.26,2.75,-5.1,0,33,0.6,1.8,1.2
13,Pickup_7,PP,4.02,4.0,1.8,1,25,1.4,2.7,1.4
14,Delivery_7,DD,0.55,3.7,-1.8,3,23,0.4,2.3,1.0
15,Pickup_8,PP,1.6,2.05,4.1,1,27,0.6,3.7,1.3
16,Delivery_8,DD,3.98,1.69,-4.1,4,29,0.5,2.6,1.0
17,Pickup_9,PP,4.7,4.87,2.7,4,21,1.4,2.0,1.5
18,Delivery_9,DD,4.08,0.87,-2.7,4,29,1.5,3.5,0.9
19,Pickup_10,PP,4.97,7.41,3.8,4,28,1.4,1.1,1.4
20,Delivery_10,DD,7.64,3.27,-3.8,4,34,1.1,0.4,1.2
21,Pickup_11,PP,0.69,4.2,3.7,1,30,1.9,3.8,1.5
22,Delivery_11,DD,0.1,4.19,-3.7,3,34,1.6,1.4,1.3
23,Pickup_12,PP,3.79,7.85,1.9,1,28,1.3,2.8,1.4
24,Delivery_12,DD,7.17,2.92,-1.9,1,27,0.4,3.9,1.1
25,Pickup_13,PP,0.65,4.83,2.5,1,32,1.4,2.2,1.1
26,Delivery_13,DD,1.56,5.96,-2.5,2,23,1.7,2.3,1.2
27,Pickup_14,PP,3.94,3.8,10.8,3,25,1.3,0.5,1.4
28,Delivery_14,DD,7.16,4.67,-10.8,3,22,1.3,1.6,1.4
29,Pickup_15,PP,4.99,3.32,8.1,2,26,1.4,3.2,1.1
30,Delivery_15,DD,1.34,5.65,-8.1,1,29,1.5,2.1,1.1
31,Pickup_16,PP,1.82,5.88,2.8,1,26,0.2,1.8,1.3
32,Delivery_16,DD,3.04,4.82,-2.8,5,25,2.0,2.2,1.0
33,Pickup_17,PP,4.03,3.58,1.8,3,30,0.7,2.5,1.2
34,Delivery_17,DD,4.21,2.32,-1.8,4,31,1.1,1.0,1.1
35,Pickup_18,PP,1.6,2.71,2.1,5,29,0.8,0.2,1.4
36,Delivery_18,DD,5.22,4.01,-2.1,5,20,1.9,1.6,1.1
37,Pickup_19,PP,3.73,3.64,9.2,4,33,1.1,1.3,1.5
38,Delivery_19,DD,3.87,3.96,-9.2,0,31,1.8,0.1,1.0
39,Pickup_20,PP,2.62,7.19,3.3,1,24,0.7,3.1,0.9
40,Delivery_20,DD,3.71,2.48,-3.3,2,33,0.4,0.6,1.4
41,Pickup_21,PP,1.57,6.61,5.2,3,20,1.2,3.1,0.9
42,Delivery_21,DD,1.79,6.49,-5.2,2,29,0.0,2.1,0.9
43,Pickup_22,PP,7.33,3.5,5.5,0,29,0.5,2.5,1.4
44,Delivery_22,DD,5.02,1.29,-5.5,1,35,1.7,3.7,1.2
45,Pickup_23,PP,6.8,6.13,4.2,2,35,0.4,3.1,1.2
46,Delivery_23,DD,5.15,4.4,-4.2,0,20,1.6,3.0,1.4
47,Pickup_24,PP,3.68,2.48,1.8,1,22,1.8,2.8,1.4
48,Delivery_24,DD,3.82,3.86,-1.8,0,29,0.8,2.9,1.3
49,Pickup_25,PP,4.95,6.62,3.7,5,35,1.7,1.5,1.4
50,Delivery_25,DD,3.68,4.19,-3.7,1,34,1.2,2.1,1.2
51,Pickup_26,PP,4.43,3.5,5.9,4,25,0.7,2.5,1.0
52,Delivery_26,DD,4.98,3.54,-5.9,3,20,1.1,0.0,0.9
53,Pickup_27,PP,3.46,1.03,2.4,3,29,1.4,0.8,0.9
54,Delivery_27,DD,3.75,4.52,-2.4,2,30,0.9,3.0,1.1
55,Pickup_28,PP,3.98,7.19,7.2,5,25,0.3,0.4,0.9
56,Delivery_28,DD,4.04,4.12,-7.2,0,23,0.7,0.3,1.1
57,Pickup_29,PP,3.89,4.02,2.6,0,24,0.2,0.7,1.3
58,Delivery_29,DD,7.77,4.78,-2.6,3,23,1.9,1.9,1.2
59,Pickup_30,PP,3.07,0.31,8.5,5,23,0.7,2.1,1.2
60,Delivery_30,DD,2.8,0.5,-8.5,2,32,1.1,0.7,0.9
61,Pickup_31,PP,4.16,4.48,13.2,0,20,0.6,3.4,1.4
62,Delivery_31,DD,4.03,3.95,-13.2,5,22,1.4,1.7,1.5
63,Pickup_32,PP,3.99,4.04,0.8,5,29,0.3,3.5,0.8
64,Delivery_32,DD,3.61,2.83,-0.8,5,28,0.3,4.0,1.1
65,Pickup_33,PP,4.97,1.84,9.1,0,25,1.1,0.4,1.2
66,Delivery_33,DD,3.86,3.89,-9.1,1,20,1.4,1.8,1.2
67,Pickup_34,PP,3.11,2.62,8.4,2,24,0.0,2.3,1.4
68,Delivery_34,DD,4.04,4.13,-8.4,3,26,0.5,0.5,1.2
69,Pickup_35,PP,4.07,0.45,11.1,4,29,1.2,3.3,1.4
70,Delivery_35,DD,4.97,0.16,-11.1,0,26,0.2,0.7,1.2
71,Pickup_36,PP,4.25,4.85,2.7,2,30,0.8,0.6,0.9
72,Delivery_36,DD,4.01,4.0,-2.7,4,29,0.9,0.0,1.3
73,Pickup_37,PP,3.68,4.49,4.5,1,33,1.4,1.3,1.4
74,Delivery_37,DD,3.98,4.56,-4.5,4,35,1.7,2.3,0.9
75,Pickup_38,PP,5.17,7.26,1.2,4,24,0.2,3.3,1.2
76,Delivery_38,DD,7.79,3.6,-1.2,1,22,0.3,2.6,0.9
77,Pickup_39,PP,4.05,4.5,4.6,0,20,0.2,0.8,0.9
78,Delivery_39,DD,3.95,4.39,-4.6,3,35,1.2,2.0,1.2
79,Pickup_40,PP,3.6,0.1,3.3,5,23,0.9,0.1,1.2
80,Delivery_40,DD,3.48,3.11,-3.3,2,34,1.7,3.8,0.9
81,Pickup_41,PP,5.75,1.88,1.8,0,32,0.1,3.3,1.1
82,Delivery_41,DD,3.66,2.4,-1.8,1,20,1.2,3.3,1.3
83,Pickup_42,PP,3.29,2.43,2.3,5,34,0.1,3.3,1.0
84,Delivery_42,DD,3.81,4.01,-2.3,1,26,0.4,2.4,1.2
85,Pickup_43,PP,3.01,0.97,1.8,3,33,1.5,3.2,1.0
86,Delivery_43,DD,4.33,0.54,-1.8,5,25,1.1,0.3,1.3
87,Pickup_44,PP,0.58,3.89,1.6,1,35,0.8,1.5,1.0
88,Delivery_44,DD,2.73,4.29,-1.6,4,27,0.2,2.0,1.0
89,Pickup_45,PP,5.09,6.85,3.8,1,35,0.7,0.2,1.1
90,Delivery_45,DD,4.0,4.0,-3.8,3,27,1.8,1.8,1.0
91,Pickup_46,PP,5.13,6.68,3.3,2,25,1.8,1.0,1.0
92,Delivery_46,DD,3.98,3.97,-3.3,2,29,0.8,1.1,1.4
93,Pickup_47,PP,3.02,7.34,1.7,4,26,1.3,1.7,1.3
94,Delivery_47,DD,3.94,6.99,-1.7,3,21,1.1,3.7,1.0
95,Pickup_48,PP,4.94,4.79,4.1,0,29,0.6,0.1,0.9
96,Delivery_48,DD,0.6,3.85,-4.1,0,33,1.0,2.3,1.1
97,Pickup_49,PP,1.03,2.65,12.4,1,28,0.6,2.9,1.1
98,Delivery_49,DD,3.19,3.8,-12.4,1,23,1.3,1.2,1.0
99,Pickup_50,PP,7.23,5.03,10.3,4,31,1.5,3.5,0.8
100,Delivery_50,DD,2.93,4.68,-10.3,5,35,1.8,2.2,1.1
0,Depot,depot,4,4,0,0,0,0,0,0
