point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,0.58,4.58,2.0,0,22,1.1,2.2,0.8
2,Delivery_1,DD,3.98,4.5,-2.0,2,30,1.0,0.3,1.0
3,Pickup_2,PP,7.27,3.94,1.2,3,20,1.6,1.5,1.1
4,Delivery_2,DD,3.98,3.37,-1.2,2,29,1.1,2.0,1.4
5,Pickup_3,PP,5.0,3.67,2.6,4,29,0.8,2.5,1.3
6,Delivery_3,DD,3.86,4.21,-2.6,4,30,1.0,0.6,1.0
7,Pickup_4,PP,4.16,4.26,2.6,5,24,0.9,3.4,1.2
8,Delivery_4,DD,4.92,3.35,-2.6,0,30,1.5,4.0,0.9
9,Pickup_5,PP,4.83,4.32,2.7,1,29,0.9,1.5,1.1
10,Delivery_5,DD,4.15,3.27,-2.7,1,21,0.0,0.4,1.5
11,Pickup_6,PP,3.78,3.53,5.8,0,26,1.9,3.0,1.4
12,Delivery_6,DD,4.49,4.54,-5.8,1,24,0.4,2.6,1.4
13,Pickup_7,PP,0.57,4.28,6.2,2,20,0.9,3.5,1.2
14,Delivery_7,DD,2.31,0.92,-6.2,2,28,1.8,3.5,0.8
15,Pickup_8,PP,4.31,4.47,4.9,3,31,0.5,2.0,1.4
16,Delivery_8,DD,4.51,4.65,-4.9,1,35,0.9,1.7,1.4
17,Pickup_9,PP,4.15,4.61,4.9,4,33,0.5,0.3,1.5
18,Delivery_9,DD,0.7,3.53,-4.9,5,27,0.7,2.1,1.5
19,Pickup_10,PP,0.61,3.12,1.8,1,31,1.3,3.5,1.4
20,Delivery_10,DD,4.55,4.24,-1.8,3,34,1.1,1.9,0.9
21,Pickup_11,PP,5.11,2.47,2.1,5,25,1.5,3.1,1.3
22,Delivery_11,DD,4.77,4.25,-2.1,3,30,1.3,2.0,1.0
23,Pickup_12,PP,4.59,5.75,1.7,4,25,0.1,2.8,1.4
24,Delivery_12,DD,1.74,4.57,-1.7,1,34,0.9,1.6,0.9
25,Pickup_13,PP,4.2,1.68,1.9,1,26,1.7,1.0,0.9
26,Delivery_13,DD,4.18,5.27,-1.9,5,31,1.8,0.6,1.5
27,Pickup_14,PP,4.1,3.8,2.4,2,25,1.2,2.9,1.2
28,Delivery_14,DD,5.1,6.8,-2.4,3,31,0.8,2.9,1.4
29,Pickup_15,PP,7.06,3.54,4.5,3,28,0.9,0.3,1.4
30,Delivery_15,DD,7.11,5.21,-4.5,1,35,0.5,1.6,1.4
31,Pickup_16,PP,7.36,4.71,6.4,4,20,0.4,0.4,0.9
32,Delivery_16,DD,5.12,4.67,-6.4,4,32,0.6,2.7,1.0
33,Pickup_17,PP,7.19,3.32,2.5,2,27,0.2,0.9,0.8
34,Delivery_17,DD,1.1,5.65,-2.5,3,23,0.5,3.7,1.4
35,Pickup_18,PP,2.07,5.2,3.3,2,26,0.4,0.3,1.4
36,Delivery_18,DD,3.91,4.18,-3.3,1,25,1.2,1.0,1.1
37,Pickup_19,PP,4.04,3.79,10.9,3,35,0.7,3.5,1.2
38,Delivery_19,DD,2.29,0.63,-10.9,5,22,1.5,3.7,1.4
39,Pickup_20,PP,1.6,2.22,7.4,3,33,1.2,1.6,1.2
40,Delivery_20,DD,3.29,4.6,-7.4,0,21,0.7,0.5,1.3
41,Pickup_21,PP,3.4,3.56,1.7,5,35,1.8,2.4,1.4
42,Delivery_21,DD,4.12,3.59,-1.7,1,28,0.1,1.8,1.1
43,Pickup_22,PP,3.86,7.14,1.9,0,29,0.2,0.6,0.9
44,Delivery_22,DD,3.12,3.37,-1.9,0,23,0.3,2.8,1.4
45,Pickup_23,PP,2.87,2.62,2.9,0,24,1.7,0.9,1.1
46,Delivery_23,DD,3.27,0.8,-2.9,2,26,1.6,3.7,1.1
47,Pickup_24,PP,7.01,3.91,4.6,2,20,1.2,2.7,0.9
48,Delivery_24,DD,4.05,3.41,-4.6,2,35,0.5,2.4,0.9
49,Pickup_25,PP,5.07,6.6,7.3,5,35,1.0,3.8,1.4
50,Delivery_25,DD,3.95,4.01,-7.3,4,30,0.4,4.0,0.9
51,Pickup_26,PP,6.38,6.08,1.6,4,31,1.7,0.5,1.3
52,Delivery_26,DD,7.47,5.46,-1.6,2,31,1.2,2.0,1.0
53,Pickup_27,PP,4.44,4.53,8.7,4,30,1.0,2.0,1.0
54,Delivery_27,DD,3.27,4.7,-8.7,5,20,1.2,1.6,1.4
55,Pickup_28,PP,3.16,1.0,4.9,3,28,0.6,0.1,1.1
56,Delivery_28,DD,4.27,3.49,-4.9,2,24,0.8,1.2,1.4
57,Pickup_29,PP,3.38,2.29,8.6,2,30,1.6,1.1,0.9
58,Delivery_29,DD,1.58,1.49,-8.6,5,24,1.5,0.4,0.9
59,Pickup_30,PP,3.24,4.25,7.2,1,31,1.3,2.9,1.0
60,Delivery_30,DD,1.6,5.91,-7.2,0,21,1.5,3.6,1.3
61,Pickup_31,PP,0.47,3.17,1.1,0,22,1.8,0.7,1.1
62,Delivery_31,DD,4.04,7.27,-1.1,0,28,1.2,0.5,1.0
63,Pickup_32,PP,3.6,0.55,2.2,4,22,0.1,3.3,1.0
64,Delivery_32,DD,4.16,4.13,-2.2,1,25,1.0,2.4,1.0
65,Pickup_33,PP,1.22,5.68,4.1,3,21,1.3,3.4,1.4
66,Delivery_33,DD,6.94,4.93,-4.1,5,20,0.6,2.5,1.1
67,Pickup_34,PP,4.03,0.59,1.8,1,23,1.6,0.2,1.2
68,Delivery_34,DD,5.46,3.91,-1.8,0,24,0.4,2.3,1.3
69,Pickup_35,PP,3.98,3.76,3.8,1,29,0.5,3.8,1.1
70,Delivery_35,DD,4.64,3.7,-3.8,5,26,1.3,0.5,0.9
71,Pickup_36,PP,3.94,4.32,8.7,3,30,0.9,0.5,1.0
72,Delivery_36,DD,5.11,3.77,-8.7,5,31,0.8,2.1,1.4
73,Pickup_37,PP,2.62,0.82,8.4,0,29,0.3,3.4,0.9
74,Delivery_37,DD,4.36,5.45,-8.4,4,25,0.9,0.4,0.9
75,Pickup_38,PP,5.09,5.46,2.2,5,22,1.9,1.9,0.8
76,Delivery_38,DD,4.73,7.41,-2.2,1,25,1.1,0.5,0.8
77,Pickup_39,PP,3.76,1.7,4.2,1,35,1.9,1.8,1.3
78,Delivery_39,DD,0.14,4.15,-4.2,4,22,0.2,0.8,1.4
