point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,1.71,5.35,9.6,1,34,1.6,0.1,1.3
2,Delivery_1,DD,3.43,4.14,-9.6,4,24,1.1,2.3,1.0
3,Pickup_2,PP,4.28,3.35,3.6,5,34,1.4,2.1,0.8
4,Delivery_2,DD,3.3,7.28,-3.6,0,20,1.2,0.5,1.5
5,Pickup_3,PP,0.27,4.73,4.2,3,35,0.0,1.2,1.5
6,Delivery_3,DD,1.68,3.52,-4.2,2,28,1.7,1.3,1.1
7,Pickup_4,PP,7.49,4.89,2.2,5,28,1.2,3.6,1.5
8,Delivery_4,DD,2.7,3.82,-2.2,3,31,1.0,0.5,1.1
9,Pickup_5,PP,2.39,2.61,5.0,4,23,0.6,0.3,0.8
10,Delivery_5,DD,4.89,6.53,-5.0,5,27,0.5,0.7,1.2
11,Pickup_6,PP,3.79,7.54,10.5,0,33,1.9,0.9,1.1
12,Delivery_6,DD,3.8,2.43,-10.5,1,20,1.7,3.3,0.9
13,Pickup_7,PP,4.84,6.96,3.7,3,21,0.8,3.1,1.2
14,Delivery_7,DD,7.89,4.47,-3.7,1,24,1.4,2.6,1.3
15,Pickup_8,PP,3.55,4.16,4.7,3,22,0.9,3.3,0.9
16,Delivery_8,DD,0.68,4.63,-4.7,0,21,1.4,2.6,0.8
17,Pickup_9,PP,4.44,5.93,3.8,5,35,2.0,0.4,0.8
18,Delivery_9,DD,4.26,5.05,-3.8,1,27,0.2,1.2,1.2
19,Pickup_10,PP,4.41,0.93,2.4,1,33,1.9,0.3,1.1
20,Delivery_10,DD,4.85,4.57,-2.4,5,26,1.2,3.3,0.9
0,Depot,depot,4,4,0,0,0,0,0,0
