point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,1.19,5.68,10.2,2,32,0.5,3.6,1.1
2,Delivery_1,DD,2.33,4.35,-10.2,5,29,0.8,3.2,0.8
3,Pickup_2,PP,4.23,3.91,2.9,4,21,0.4,0.2,1.2
4,Delivery_2,DD,3.71,7.39,-2.9,2,20,1.5,1.4,1.4
5,Pickup_3,PP,4.38,4.09,4.2,4,33,0.2,1.4,1.5
6,Delivery_3,DD,6.7,4.01,-4.2,3,22,0.2,3.4,1.1
7,Pickup_4,PP,4.0,4.23,1.6,1,29,1.3,2.8,1.2
8,Delivery_4,DD,4.1,4.02,-1.6,2,30,0.1,1.4,1.1
9,Pickup_5,PP,4.05,3.99,4.9,3,31,1.6,1.9,1.1
10,Delivery_5,DD,4.33,4.5,-4.9,0,27,0.7,3.2,1.1
11,Pickup_6,PP,0.83,4.09,1.7,4,27,0.3,1.8,1.4
12,Delivery_6,DD,4.26,3.93,-1.7,1,27,1.0,0.7,1.1
13,Pickup_7,PP,4.95,3.86,6.1,5,21,1.9,1.5,1.0
14,Delivery_7,DD,2.19,4.66,-6.1,0,24,1.2,2.5,1.1
15,Pickup_8,PP,3.91,3.47,4.5,5,29,0.5,1.6,1.4
16,Delivery_8,DD,4.36,1.08,-4.5,0,30,0.3,3.0,1.1
17,Pickup_9,PP,4.81,4.91,4.2,4,27,0.0,3.2,0.9
18,Delivery_9,DD,7.13,5.22,-4.2,1,35,0.1,2.7,1.0
19,Pickup_10,PP,6.99,5.5,5.0,3,25,0.8,1.8,1.2
20,Delivery_10,DD,3.34,4.68,-5.0,0,34,1.2,2.8,1.1
21,Pickup_11,PP,2.54,4.56,3.9,2,32,0.5,1.7,1.4
22,Delivery_11,DD,3.81,4.32,-3.9,3,32,0.7,2.8,1.4
23,Pickup_12,PP,2.95,7.61,4.6,2,30,0.4,0.0,1.5
24,Delivery_12,DD,4.94,4.05,-4.6,2,28,1.8,2.3,1.3
25,Pickup_13,PP,4.28,4.68,8.2,5,24,0.3,1.4,1.1
26,Delivery_13,DD,3.65,4.22,-8.2,1,27,1.3,3.8,1.4
27,Pickup_14,PP,7.04,6.5,3.9,5,34,0.4,1.3,0.9
28,Delivery_14,DD,6.75,1.87,-3.9,3,23,0.9,0.6,1.4
29,Pickup_15,PP,3.82,3.67,9.9,4,21,0.4,2.5,1.1
30,Delivery_15,DD,3.86,3.93,-9.9,3,21,0.1,3.0,1.0
31,Pickup_16,PP,4.09,2.55,5.2,1,32,0.1,2.8,0.8
32,Delivery_16,DD,4.38,7.32,-5.2,0,20,1.4,2.1,0.9
33,Pickup_17,PP,4.81,3.49,2.2,3,29,0.3,1.0,1.1
34,Delivery_17,DD,4.5,7.12,-2.2,5,29,1.9,0.7,1.2
35,Pickup_18,PP,2.85,7.24,8.0,1,28,0.8,2.9,1.2
36,Delivery_18,DD,4.34,3.82,-8.0,1,27,0.1,2.3,0.8
37,Pickup_19,PP,2.6,3.7,10.7,1,25,0.0,2.0,0.8
38,Delivery_19,DD,6.84,5.55,-10.7,3,32,1.8,1.2,1.4
39,Pickup_20,PP,4.98,7.04,2.4,1,27,1.0,3.9,1.2
40,Delivery_20,DD,5.06,2.75,-2.4,2,33,0.2,1.0,0.9
41,Pickup_21,PP,4.09,3.88,1.8,3,23,1.5,2.8,1.3
42,Delivery_21,DD,4.89,6.74,-1.8,2,31,1.3,0.8,1.3
43,Pickup_22,PP,7.03,5.14,2.8,2,20,1.3,1.8,1.1
44,Delivery_22,DD,4.25,0.76,-2.8,0,25,0.1,3.4,1.0
45,Pickup_23,PP,7.76,4.82,1.6,2,24,0.2,3.2,1.0
46,Delivery_23,DD,3.53,4.3,-1.6,4,29,1.8,1.7,1.3
47,Pickup_24,PP,1.98,4.56,2.2,5,34,0.6,1.7,1.3
48,Delivery_24,DD,6.54,1.94,-2.2,4,20,0.4,2.9,1.1
49,Pickup_25,PP,4.16,6.02,2.4,5,26,1.2,2.9,1.0
50,Delivery_25,DD,3.96,3.99,-2.4,3,25,0.7,3.4,1.3
51,Pickup_26,PP,7.72,4.11,4.0,4,31,1.4,0.9,0.9
52,Delivery_26,DD,4.45,6.24,-4.0,5,21,0.3,2.9,0.8
53,Pickup_27,PP,0.19,3.15,1.7,3,24,1.3,1.8,0.9
54,Delivery_27,DD,4.98,3.18,-1.7,1,23,1.2,3.2,0.9
55,Pickup_28,PP,0.65,4.18,2.9,0,27,0.0,2.5,0.8
56,Delivery_28,DD,4.28,4.65,-2.9,3,35,1.0,0.9,1.2
57,Pickup_29,PP,3.69,7.14,1.7,3,21,1.6,0.4,1.0
58,Delivery_29,DD,3.87,2.44,-1.7,3,32,1.1,2.9,0.8
59,Pickup_30,PP,4.08,1.67,4.0,3,20,1.6,1.5,1.0
60,Delivery_30,DD,7.84,3.86,-4.0,1,26,1.4,0.5,1.3
0,Depot,depot,4,4,0,0,0,0,0,0
