point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,4.72,4.76,5.7,3,32,0.1,0.9,1.1
2,Delivery_1,DD,3.66,4.47,-5.7,2,24,0.6,2.2,1.5
3,Pickup_2,PP,3.92,4.0,12.0,4,24,0.5,1.6,0.9
4,Delivery_2,DD,3.7,7.42,-12.0,4,31,1.2,3.4,1.2
5,Pickup_3,PP,1.72,5.25,2.0,2,28,0.2,0.6,1.4
6,Delivery_3,DD,3.88,4.38,-2.0,0,32,0.9,3.8,1.0
7,Pickup_4,PP,4.73,5.91,2.1,1,34,1.7,1.8,0.8
8,Delivery_4,DD,4.23,7.05,-2.1,1,25,1.1,3.9,1.2
9,Pickup_5,PP,7.27,3.95,2.3,5,23,0.7,0.6,1.1
10,Delivery_5,DD,4.29,0.29,-2.3,5,23,0.4,3.9,1.1
0,Depot,depot,4,4,0,0,0,0,0,0
