point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,4.0,4.11,1.4,1,34,1.2,2.1,1.3
2,Delivery_1,DD,2.05,1.63,-1.4,3,34,1.0,1.7,1.1
3,Pickup_2,PP,3.9,3.44,2.1,4,32,1.9,3.3,1.2
4,Delivery_2,DD,2.76,4.35,-2.1,3,20,1.3,0.1,1.3
5,Pickup_3,PP,4.29,4.22,5.4,1,31,1.0,3.5,1.5
6,Delivery_3,DD,3.44,7.14,-5.4,2,20,0.4,2.7,1.0
7,Pickup_4,PP,7.72,3.04,0.8,0,29,0.6,3.7,1.4
8,Delivery_4,DD,4.02,4.06,-0.8,4,32,1.2,0.7,1.3
9,Pickup_5,PP,4.53,4.82,9.6,0,31,1.5,3.8,1.5
10,Delivery_5,DD,4.49,4.42,-9.6,1,35,1.1,3.2,1.4
11,Pickup_6,PP,4.2,3.97,6.4,2,23,1.9,1.9,1.1
12,Delivery_6,DD,2.35,0.99,-6.4,1,31,0.6,3.6,0.8
13,Pickup_7,PP,3.48,4.02,8.8,5,34,0.8,3.3,1.2
14,Delivery_7,DD,7.47,5.63,-8.8,2,21,1.5,0.7,1.3
15,Pickup_8,PP,4.08,4.27,3.2,0,28,0.1,2.6,1.2
16,Delivery_8,DD,4.83,2.89,-3.2,0,34,0.6,1.6,1.3
17,Pickup_9,PP,1.6,3.05,1.8,2,34,0.8,4.0,1.0
18,Delivery_9,DD,0.34,2.79,-1.8,5,23,1.3,2.5,0.8
19,Pickup_10,PP,4.16,4.74,4.1,1,21,0.4,3.2,1.1
20,Delivery_10,DD,4.42,3.37,-4.1,5,26,0.5,1.9,1.2
21,Pickup_11,PP,4.68,3.25,2.4,3,23,1.4,1.9,0.8
22,Delivery_11,DD,3.7,7.64,-2.4,0,25,0.5,3.9,1.0
23,Pickup_12,PP,3.93,3.78,8.8,0,23,0.2,0.8,1.1
24,Delivery_12,DD,3.93,3.42,-8.8,5,21,1.0,1.5,1.3
25,Pickup_13,PP,6.99,3.69,4.9,1,35,0.8,1.0,1.2
26,Delivery_13,DD,1.75,4.72,-4.9,4,23,0.0,0.6,1.4
27,Pickup_14,PP,4.39,1.1,3.9,3,32,1.3,0.8,1.1
28,Delivery_14,DD,3.15,3.95,-3.9,2,35,0.4,1.6,1.1
29,Pickup_15,PP,4.96,0.9,4.5,1,35,0.5,1.9,0.9
30,Delivery_15,DD,7.28,2.82,-4.5,0,32,1.4,1.1,1.1
31,Pickup_16,PP,4.23,5.98,2.3,3,30,1.2,3.4,0.9
32,Delivery_16,DD,0.41,2.55,-2.3,1,35,1.6,3.3,1.2
33,Pickup_17,PP,4.35,3.41,2.9,2,26,1.2,2.6,1.0
34,Delivery_17,DD,3.4,4.54,-2.9,4,27,0.9,2.4,1.2
35,Pickup_18,PP,4.12,3.75,3.6,3,23,1.7,2.7,1.1
36,Delivery_18,DD,4.32,2.45,-3.6,4,23,2.0,1.3,0.9
37,Pickup_19,PP,4.12,3.71,1.4,1,21,0.8,2.2,1.1
