point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,4.12,4.18,2.7,3,34,0.1,2.1,1.2
2,Delivery_1,DD,4.16,4.1,-2.7,0,21,2.0,1.8,1.3
3,Pickup_2,PP,7.04,5.14,2.3,2,33,1.0,2.9,0.8
4,Delivery_2,DD,3.92,3.62,-2.3,5,32,1.8,1.0,1.0
5,Pickup_3,PP,4.71,4.99,3.9,4,32,0.7,0.9,1.1
6,Delivery_3,DD,2.43,0.36,-3.9,4,27,1.3,0.2,1.3
7,Pickup_4,PP,4.56,2.75,3.4,1,30,1.3,2.4,1.3
8,Delivery_4,DD,4.78,4.65,-3.4,1,25,1.0,3.8,1.2
9,Pickup_5,PP,4.78,2.65,7.6,4,35,1.9,0.6,1.0
10,Delivery_5,DD,3.67,3.61,-7.6,0,25,1.5,0.9,1.2
11,Pickup_6,PP,4.26,3.58,6.3,2,22,0.0,1.1,1.4
12,Delivery_6,DD,4.02,4.1,-6.3,4,30,1.3,3.3,1.4
13,Pickup_7,PP,2.19,0.7,1.8,1,20,0.2,3.6,1.4
14,Delivery_7,DD,1.36,1.04,-1.8,2,22,1.2,3.6,0.8
15,Pickup_8,PP,4.86,7.02,7.8,3,24,1.4,3.7,1.3
16,Delivery_8,DD,3.42,1.68,-7.8,3,35,0.0,1.2,1.1
17,Pickup_9,PP,4.07,4.31,8.2,3,27,0.3,1.6,1.2
18,Delivery_9,DD,3.27,3.0,-8.2,1,31,1.7,0.1,0.9
19,Pickup_10,PP,6.68,3.97,2.0,3,32,0.5,0.5,1.4
20,Delivery_10,DD,5.13,7.22,-2.0,2,34,1.7,0.8,1.3
21,Pickup_11,PP,0.68,3.69,4.2,0,32,1.6,2.6,0.8
22,Delivery_11,DD,4.44,3.36,-4.2,0,26,0.7,3.3,1.2
23,Pickup_12,PP,4.35,4.12,2.1,5,26,1.7,2.7,1.3
24,Delivery_12,DD,4.59,5.1,-2.1,1,35,1.3,3.4,1.5
25,Pickup_13,PP,3.97,4.01,7.6,4,29,0.1,3.0,1.2
26,Delivery_13,DD,4.62,7.36,-7.6,4,29,0.2,1.3,1.4
27,Pickup_14,PP,0.84,2.6,4.1,5,34,0.5,1.5,1.0
28,Delivery_14,DD,1.58,6.01,-4.1,4,32,0.5,2.8,1.2
29,Pickup_15,PP,5.77,3.91,6.4,3,28,0.8,1.0,1.3
30,Delivery_15,DD,4.74,5.44,-6.4,0,21,1.2,2.1,1.0
31,Pickup_16,PP,2.33,4.28,3.8,2,21,1.6,0.7,1.0
32,Delivery_16,DD,4.15,3.74,-3.8,2,35,0.0,3.3,0.9
33,Pickup_17,PP,1.78,3.99,4.3,5,29,1.9,2.6,1.5
34,Delivery_17,DD,4.03,3.88,-4.3,1,32,1.2,3.6,1.4
35,Pickup_18,PP,5.05,2.76,4.4,4,30,0.6,0.7,1.0
36,Delivery_18,DD,5.08,0.88,-4.4,0,26,1.1,3.6,0.9
37,Pickup_19,PP,4.75,3.23,1.9,5,28,1.6,3.7,1.0
38,Delivery_19,DD,4.16,4.09,-1.9,3,35,0.6,0.7,0.8
39,Pickup_20,PP,4.88,0.33,2.9,3,28,0.8,2.5,1.0
40,Delivery_20,DD,5.11,4.0,-2.9,5,26,1.0,1.8,1.0
0,Depot,depot,4,4,0,0,0,0,0,0
