point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,4.05,7.11,10.6,1,31,1.9,2.7,1.0
2,Delivery_1,DD,4.56,2.5,-10.6,2,21,0.6,0.9,1.0
3,Pickup_2,PP,0.45,3.53,8.4,4,20,0.4,1.7,1.2
4,Delivery_2,DD,0.72,5.15,-8.4,0,30,0.1,2.0,0.8
5,Pickup_3,PP,4.71,0.87,2.3,3,20,1.2,0.8,1.0
6,Delivery_3,DD,3.63,4.23,-2.3,1,32,1.4,1.6,1.3
7,Pickup_4,PP,0.08,4.11,5.8,4,27,0.2,2.5,1.4
8,Delivery_4,DD,3.35,1.25,-5.8,4,34,1.5,3.5,1.3
9,Pickup_5,PP,4.49,3.99,3.3,4,25,1.3,0.3,1.3
10,Delivery_5,DD,5.19,7.35,-3.3,4,26,0.1,1.5,0.9
11,Pickup_6,PP,3.69,3.09,2.6,5,34,2.0,2.4,1.5
12,Delivery_6,DD,6.67,4.1,-2.6,1,27,1.3,2.0,0.9
13,Pickup_7,PP,7.15,4.3,2.7,3,25,1.6,3.5,1.2
14,Delivery_7,DD,4.52,2.93,-2.7,4,25,1.9,3.2,1.2
15,Pickup_8,PP,3.5,4.54,4.6,4,24,0.3,0.4,1.2
16,Delivery_8,DD,4.51,7.59,-4.6,1,21,1.5,1.7,0.9
17,Pickup_9,PP,3.9,3.95,2.0,2,26,2.0,2.1,1.3
18,Delivery_9,DD,4.84,7.1,-2.0,5,29,0.3,2.4,0.9
19,Pickup_10,PP,4.53,5.26,7.3,2,35,0.7,0.9,1.1
20,Delivery_10,DD,4.74,5.94,-7.3,3,24,0.3,2.9,1.2
21,Pickup_11,PP,4.7,0.59,1.8,2,34,0.4,2.9,1.2
22,Delivery_11,DD,5.67,4.02,-1.8,0,32,1.2,1.3,1.1
23,Pickup_12,PP,3.63,1.04,6.9,0,23,0.0,2.7,1.3
24,Delivery_12,DD,7.66,3.14,-6.9,2,32,0.2,3.2,1.0
25,Pickup_13,PP,7.05,2.93,3.4,2,29,0.5,2.8,1.4
26,Delivery_13,DD,4.31,3.9,-3.4,5,31,1.9,1.4,1.5
27,Pickup_14,PP,5.12,6.97,3.2,5,22,0.7,3.1,1.0
28,Delivery_14,DD,3.94,4.03,-3.2,1,34,1.7,0.1,1.3
29,Pickup_15,PP,7.02,4.99,2.6,3,28,0.2,1.6,1.3
30,Delivery_15,DD,4.62,6.23,-2.6,0,25,0.4,3.1,1.2
31,Pickup_16,PP,1.1,2.68,9.5,5,27,0.1,3.7,0.8
32,Delivery_16,DD,4.08,5.19,-9.5,2,27,0.0,0.2,1.0
33,Pickup_17,PP,3.18,3.46,1.8,4,25,1.0,3.1,1.5
34,Delivery_17,DD,0.6,2.46,-1.8,2,22,1.1,0.4,0.8
35,Pickup_18,PP,4.0,4.86,10.0,3,21,1.5,0.3,1.4
36,Delivery_18,DD,4.17,4.02,-10.0,4,26,0.6,2.1,1.2
37,Pickup_19,PP,2.05,5.08,5.0,2,23,1.2,0.7,0.9
38,Delivery_19,DD,6.84,6.31,-5.0,0,21,0.2,3.6,0.9
39,Pickup_20,PP,7.41,1.95,2.3,3,31,0.4,0.2,1.0
40,Delivery_20,DD,2.93,4.66,-2.3,1,31,0.4,3.4,1.2
41,Pickup_21,PP,5.15,1.0,9.1,5,25,1.8,0.3,0.9
42,Delivery_21,DD,7.04,4.17,-9.1,1,28,0.6,0.9,1.2
43,Pickup_22,PP,4.59,6.51,2.3,5,27,1.0,2.8,0.9
44,Delivery_22,DD,3.51,4.87,-2.3,3,29,0.6,3.3,1.3
45,Pickup_23,PP,7.33,2.08,2.5,4,30,1.3,0.5,1.0
46,Delivery_23,DD,4.56,4.46,-2.5,3,31,1.6,3.0,1.3
47,Pickup_24,PP,7.04,2.55,3.5,3,24,0.7,1.9,1.3
48,Delivery_24,DD,4.22,3.78,-3.5,1,29,0.9,0.6,0.8
49,Pickup_25,PP,7.15,5.58,4.5,3,26,0.3,1.5,1.4
50,Delivery_25,DD,2.42,7.35,-4.5,1,28,1.3,2.1,1.3
51,Pickup_26,PP,3.84,4.67,2.6,5,31,1.0,3.1,1.0
52,Delivery_26,DD,1.81,4.81,-2.6,4,22,0.6,0.5,1.4
53,Pickup_27,PP,6.91,5.52,5.4,1,23,0.8,2.9,1.0
54,Delivery_27,DD,5.1,5.52,-5.4,0,23,0.3,2.8,1.4
55,Pickup_28,PP,3.35,1.4,2.6,2,29,1.4,3.3,0.9
56,Delivery_28,DD,4.19,4.26,-2.6,5,22,1.9,3.9,1.0
57,Pickup_29,PP,4.16,7.15,4.6,1,26,0.7,1.8,1.2
58,Delivery_29,DD,4.0,3.73,-4.6,1,28,0.8,3.9,1.3
59,Pickup_30,PP,4.2,6.15,1.6,1,27,0.1,0.4,1.1
60,Delivery_30,DD,2.7,4.4,-1.6,4,28,2.0,2.0,0.9
61,Pickup_31,PP,4.52,2.9,8.9,2,30,1.5,2.2,1.3
62,Delivery_31,DD,4.4,5.83,-8.9,3,23,0.8,2.5,1.1
63,Pickup_32,PP,7.63,2.41,7.8,3,35,1.9,3.3,1.5
64,Delivery_32,DD,4.31,3.67,-7.8,2,20,1.1,2.3,1.1
65,Pickup_33,PP,4.72,3.18,7.7,4,25,1.0,2.1,1.3
66,Delivery_33,DD,4.13,3.39,-7.7,5,31,1.7,0.4,1.0
67,Pickup_34,PP,4.87,0.81,11.2,3,23,0.2,3.7,0.9
68,Delivery_34,DD,4.07,4.63,-11.2,3,33,1.6,1.0,1.1
69,Pickup_35,PP,4.01,4.06,1.5,3,31,1.0,2.5,1.3
70,Delivery_35,DD,6.96,5.49,-1.5,4,20,0.3,2.1,0.9
71,Pickup_36,PP,2.68,4.49,4.2,1,20,1.2,3.6,1.1
72,Delivery_36,DD,7.16,4.68,-4.2,0,29,0.5,3.8,0.8
73,Pickup_37,PP,4.07,3.03,3.5,3,30,1.9,1.4,1.0
74,Delivery_37,DD,6.97,3.37,-3.5,5,27,1.1,3.2,1.5
75,Pickup_38,PP,4.67,6.25,4.4,3,21,0.8,1.9,1.1
76,Delivery_38,DD,7.46,3.54,-4.4,5,35,0.4,1.6,1.3
77,Pickup_39,PP,3.76,3.67,1.8,3,35,1.4,3.3,1.1
78,Delivery_39,DD,5.01,5.64,-1.8,4,34,0.5,0.5,1.4
79,Pickup_40,PP,2.41,0.77,4.3,1,27,1.0,2.2,1.2
80,Delivery_40,DD,4.56,3.12,-4.3,0,29,0.1,1.3,1.1
0,Depot,depot,4,4,0,0,0,0,0,0
